Flight_ID,Date,Time,Aircraft_Type,Aircraft_Age,Flight_Hours,Crew_Experience,Pilot_Error_Flag,Altitude,Airspeed,Weather_Condition,Visibility,Wind_Speed,Temperature,Icing_Condition,Mechanical_Failure_Flag,Engine_Failure_Type,Maintenance_History,Air_Traffic_Control_Issue,Flight_Phase,Terrain_Type,Crash_Severity,Casualties,Survivors,External_Factor,Flight_Data_Anomaly_Score,Crash_Cause,Crash_Risk_Score
FL5447,29-06-2023,02:35:26,Airbus A330,11.4,15331,13886,TRUE,23697,225,Snow,10.5,23,24,FALSE,FALSE,Bird Strike,0,TRUE,Descent,Urban,Non-Fatal,0,77,Bird Strike,0.05,Weather,0.94
FL0032,29-12-2023,12:44:26,Airbus A350,14.9,20960,10798,TRUE,41937,391,Clear,4.6,11,-9,FALSE,FALSE,Fuel System,4,FALSE,Cruise,Mountain,Fatal,100,52,None,0.29,Mechanical Failure,0.38
FL1920,11-04-2021,10:26:31,Boeing 737-900,22.4,28749,7742,TRUE,22609,419,Rain,10.4,6,1,FALSE,TRUE,Fuel System,0,TRUE,Landing,Mountain,Non-Fatal,0,144,Bird Strike,0.87,Mechanical Failure,0.37
FL6713,20-03-2019,02:16:37,Airbus A321,19.6,37454,11437,TRUE,8792,224,Clear,14.2,10,15,TRUE,TRUE,Bird Strike,5,FALSE,Climb,Runway,Fatal,15,74,None,0.77,External,0.74
FL8130,29-09-2022,17:29:42,Boeing 737-700,21.8,5410,2918,TRUE,6059,428,Rain,10.6,29,23,TRUE,FALSE,Compressor Stall,1,TRUE,Takeoff,Rural,Non-Fatal,0,266,Bird Strike,0.07,ATC,0.99
FL6255,30-01-2024,06:10:24,Cessna 172,9.1,11247,18345,FALSE,14737,365,Clear,1.3,29,18,FALSE,FALSE,Compressor Stall,3,FALSE,Descent,Runway,Fatal,176,136,None,0.37,Mechanical Failure,0.48
FL8396,03-11-2020,16:39:13,Airbus A320,8.8,17984,13810,FALSE,7243,257,Fog,11.2,14,3,TRUE,TRUE,Compressor Stall,5,TRUE,Climb,Mountain,Fatal,251,1,Terrorism,0.78,Mechanical Failure,0.44
FL5710,21-08-2023,23:42:49,Boeing 747-800,0.6,21513,8357,TRUE,32725,485,Snow,5.7,25,-1,FALSE,FALSE,Compressor Stall,0,TRUE,Cruise,Rural,Fatal,267,54,Terrorism,0.97,Human Error,0.71
FL0863,23-07-2021,01:04:48,Boeing 737-900,12,51815,2020,FALSE,33119,115,Snow,12.5,24,16,FALSE,FALSE,Bird Strike,3,TRUE,Descent,Rural,Minor,0,287,Bird Strike,0.92,Mechanical Failure,0.76
FL5594,19-11-2022,18:36:29,Boeing 787,15.1,24285,15739,FALSE,40860,189,Fog,2.3,19,19,FALSE,TRUE,Fuel System,4,TRUE,Descent,Mountain,Fatal,95,252,Bird Strike,0,ATC,0.22
FL2595,10-03-2024,15:36:04,Cessna 172,17.6,15653,14339,FALSE,1740,345,Snow,14.8,15,32,TRUE,FALSE,Bird Strike,0,TRUE,Climb,Mountain,Minor,0,106,Terrorism,0.92,Weather,0.28
FL2808,17-06-2019,10:33:42,Airbus A380,20.5,51488,6634,FALSE,38112,381,Clear,6.2,15,-5,FALSE,TRUE,None,5,FALSE,Descent,Ocean,Fatal,313,34,Bird Strike,0.44,ATC,0.9
FL8168,31-07-2024,10:11:27,Boeing 737-800,20.9,35120,15661,TRUE,38063,548,Snow,1.1,32,-19,FALSE,FALSE,Fuel System,2,FALSE,Climb,Rural,Minor,0,195,Bird Strike,0,Mechanical Failure,0.38
FL6581,26-10-2021,17:59:58,Airbus A330,5.9,22075,15745,TRUE,41385,458,Fog,9.4,21,-15,TRUE,TRUE,Bird Strike,3,FALSE,Climb,Mountain,Fatal,13,263,Bird Strike,0.12,Mechanical Failure,0.47
FL4569,25-07-2019,07:00:57,Airbus A350,18.8,34098,17548,TRUE,34678,437,Fog,2,6,-4,FALSE,FALSE,Bird Strike,2,FALSE,Cruise,Rural,Non-Fatal,0,91,None,0.57,Weather,0.54
FL4962,12-08-2023,06:35:28,Boeing 777,9.2,29890,8722,FALSE,10205,238,Rain,14.4,7,15,TRUE,TRUE,None,2,TRUE,Cruise,Rural,Fatal,5,42,Terrorism,0.49,Mechanical Failure,0.46
FL0516,27-10-2024,06:53:38,Boeing 737-900,1.8,34557,12873,TRUE,33533,199,Clear,5.6,22,-15,TRUE,FALSE,Compressor Stall,2,FALSE,Descent,Runway,Non-Fatal,0,170,None,0.34,Mechanical Failure,0.27
FL2778,29-03-2019,06:11:09,Boeing 747-400,11,55834,18174,FALSE,570,395,Storm,4.7,17,0,TRUE,FALSE,Bird Strike,5,TRUE,Landing,Runway,Minor,0,284,Bird Strike,0.68,Weather,0.58
FL9719,02-03-2019,15:59:38,Boeing 737-700,20.7,9407,4514,FALSE,22576,221,Fog,6,11,19,TRUE,TRUE,Compressor Stall,4,TRUE,Descent,Mountain,Non-Fatal,0,133,Bird Strike,0.63,Mechanical Failure,0.76
